"","CodProv","NombreProv","PobTot2018","PorcVarPob2000_2018","PorcMenores16_2018","PorcMayores65_2018","PorcPobExtranjera_2018","EdadMedia2018","TBNatalidad2018","TasaBrutaMortalidad","TasaMortalidadMenores5anyos","EsperanzaVidaH2018","EsperanzaVidaM2018","PorcParoAgricultura","PorcParoIndustria","PorcParoConstruccion","PorcParoServicios","PorcParoOtros"
"1",1,"Álava",328868,14.8,15.9,20.5,8.6,43.05,7.81,9.57,3.95,80.86,85.95,8.3,13.7,6.9,61.1,9.9
"2",2,"Albacete",388786,7,15.5,19.1,6.1,43.39,7.66,8.8,2.97,80.35,85.28,4.5,15.1,6.8,65.6,8
"3",3,"Alicante",1838819,27.2,15.9,19.5,18.3,40.01,10.57,7.9,3.51,78.39,84.19,23.7,4.5,4.4,57.5,9.9
"4",4,"Almería",709340,36.9,18.1,14.5,19.7,44.16,8.22,8.47,4.47,81.6,87.05,1.8,27,5.4,62.1,3.7
"5",5,"Ávila",158498,-3.9,12.8,25.8,5.8,48.02,5.6,12.93,2.62,79.63,85.49,4.2,12.8,5.9,70.1,6.9
"6",6,"Badajoz",676376,2.2,15.5,19.2,2.8,47.23,6.15,12.8,5.11,81.07,85.96,8.4,11.9,7.4,64.1,8.2
"7",7,"Illes Balears",1128908,33.5,16.3,15.5,17.1,43.08,7.74,10.27,2.5,79.46,85.13,14.9,8.7,4.5,61,11
"8",8,"Barcelona",5609350,18.4,16.3,18.8,13.3,41.32,8.75,6.98,2.72,80.78,85.67,1.2,6,8.8,79.9,4.2
"9",9,"Burgos",357070,2.8,13.9,23.4,7,42.78,8.43,8.74,2.98,80.68,86.23,0.4,17,6,71,5.7
"10",10,"Cáceres",396487,-2.7,13.3,22.6,3.2,45.82,7,10.54,3.78,80.62,86.12,0.7,15.6,5.8,71,6.9
"11",11,"Cádiz",1238714,10.1,17.3,16.1,3.4,46.3,6.62,11.28,3.4,81.36,86.9,5.2,24,6.6,58.7,5.4
"12",12,"Castellón",576898,21.6,16.2,19,14.1,45.66,6.63,11.52,8.04,79.94,85.81,10.9,7.3,6.5,66.2,9.1
"13",13,"Ciudad Real",499100,4.7,15.3,19.9,5.8,41.17,8.21,8.4,3.71,78.4,83.7,3.7,8.7,6.6,67.1,13.8
