"alturas" "grupos"
"1" 165.170268583839 "hombre"
"2" 165.988434942946 "hombre"
"3" 162.383404416962 "hombre"
"4" 157.725091312499 "hombre"
"5" 159.985696174711 "hombre"
"6" 172.176182758803 "hombre"
"7" 158.625427039609 "hombre"
"8" 158.673953513991 "hombre"
"9" 164.262822240734 "hombre"
"10" 168.089167277207 "hombre"
"11" 169.268771204826 "hombre"
"12" 165.404144399279 "hombre"
"13" 162.974547275673 "hombre"
"14" 166.768512825748 "hombre"
"15" 166.549063312022 "hombre"
"16" 156.086027139271 "hombre"
"17" 165.269354847365 "hombre"
"18" 167.058341651505 "hombre"
"19" 174.044600119924 "hombre"
"20" 155.155486020303 "hombre"
"21" 162.07501502834 "hombre"
"22" 171.149697908545 "hombre"
"23" 164.521693348 "hombre"
"24" 168.44784079911 "hombre"
"25" 173.646449129603 "hombre"
"26" 162.852766328899 "hombre"
"27" 162.966234401107 "hombre"
"28" 171.24591024621 "hombre"
"29" 161.393531938795 "hombre"
"30" 171.670535292802 "hombre"
"31" 169.331416021752 "hombre"
"32" 163.61836613875 "hombre"
"33" 163.143804840816 "hombre"
"34" 168.422931414464 "hombre"
"35" 164.791171092131 "hombre"
"36" 167.202919372626 "hombre"
"37" 167.137233658973 "hombre"
"38" 164.729449228033 "hombre"
"39" 166.631466555645 "hombre"
"40" 168.238186093617 "hombre"
"41" 163.613583200853 "hombre"
"42" 165.178784510693 "hombre"
"43" 168.849921123681 "hombre"
"44" 166.592098734654 "hombre"
"45" 169.477450414542 "hombre"
"46" 165.908875197097 "hombre"
"47" 171.618602633621 "hombre"
"48" 164.338158399087 "hombre"
"49" 161.443466470642 "hombre"
"50" 170.503341024415 "hombre"
"51" 169.763491611314 "hombre"
"52" 170.578117277278 "hombre"
"53" 167.164430046527 "hombre"
"54" 161.473756783053 "hombre"
"55" 167.546067245286 "hombre"
"56" 159.458990038609 "hombre"
"57" 165.609078713006 "hombre"
"58" 171.748608723954 "hombre"
"59" 162.013392157506 "hombre"
"60" 164.005491177557 "hombre"
"61" 154.71492917366 "hombre"
"62" 159.599091363149 "hombre"
"63" 172.129627258696 "hombre"
"64" 166.064618176377 "hombre"
"65" 163.588274646417 "hombre"
"66" 158.942720632762 "hombre"
"67" 165.236951006655 "hombre"
"68" 161.679569120646 "hombre"
"69" 170.64541420428 "hombre"
"70" 165.856795068907 "hombre"
"71" 163.030269275621 "hombre"
"72" 166.235044572261 "hombre"
"73" 169.711288417013 "hombre"
"74" 161.347616708694 "hombre"
"75" 162.693941907542 "hombre"
"76" 161.82431849737 "hombre"
"77" 162.824480439502 "hombre"
"78" 168.653231894951 "hombre"
"79" 165.610806898108 "hombre"
"80" 157.464860751319 "hombre"
"81" 167.114049019178 "hombre"
"82" 155.421971401664 "hombre"
"83" 174.772323416281 "hombre"
"84" 171.869597990689 "hombre"
"85" 166.101468651454 "hombre"
"86" 166.501824993705 "hombre"
"87" 163.086556799669 "hombre"
"88" 173.904799257572 "hombre"
"89" 168.599885497179 "hombre"
"90" 161.053657656034 "hombre"
"91" 166.818694300947 "hombre"
"92" 171.551657720993 "hombre"
"93" 163.519552751805 "hombre"
"94" 158.188893611799 "hombre"
"95" 167.759880442743 "hombre"
"96" 167.816423694308 "hombre"
"97" 169.922778900773 "hombre"
"98" 160.54477824087 "hombre"
"99" 159.362199727128 "hombre"
"100" 157.157616522799 "hombre"
"101" 148.16955393122 "mujer"
"102" 155.664514653743 "mujer"
"103" 155.223134639679 "mujer"
"104" 161.849836743763 "mujer"
"105" 179.596225356923 "mujer"
"106" 155.389246866219 "mujer"
"107" 159.133584969577 "mujer"
"108" 152.058168097206 "mujer"
"109" 155.134227384417 "mujer"
"110" 177.270185569441 "mujer"
"111" 162.368785034721 "mujer"
"112" 169.894726501408 "mujer"
"113" 164.324183775516 "mujer"
"114" 167.937456533189 "mujer"
"115" 152.816548611039 "mujer"
"116" 164.890756677965 "mujer"
"117" 165.181335681507 "mujer"
"118" 153.749864758948 "mujer"
"119" 170.161200550744 "mujer"
"120" 166.662220548741 "mujer"
"121" 138.914504938163 "mujer"
"122" 171.987363807044 "mujer"
"123" 153.089822814069 "mujer"
"124" 155.611503271462 "mujer"
"125" 164.169321164336 "mujer"
"126" 162.293262517128 "mujer"
"127" 164.930717762706 "mujer"
"128" 160.361502014782 "mujer"
"129" 134.223084080295 "mujer"
"130" 177.013352515452 "mujer"
"131" 174.588891055036 "mujer"
"132" 165.786975446542 "mujer"
"133" 151.490509093221 "mujer"
"134" 139.322942343487 "mujer"
"135" 167.940213057171 "mujer"
"136" 156.440118043388 "mujer"
"137" 174.103746117358 "mujer"
"138" 157.351318991367 "mujer"
"139" 161.073670920959 "mujer"
"140" 175.398673419991 "mujer"
